,drugName,condition,Side_Effect,effectiveness
444,Cetirizine / pseudoephedrine,Allergic Rhinitis,,73.06%
445,Cevimeline,Sjogren's Syndrome,"crying, headache, dizziness, drool, ache",56.88%
446,Chantix,  Smoking Cessation,"mania, dependence, ex-smoker, sleepy, sleeplessness, anger, fall, tired, acupuncture, out of breath, vomiting, heartburn, tobacco abuse, brain damage, sweat, agitation, constipation, nervousness, hunger, gag, surgery, suicidal, wheezing, numbness, panic, lesion, elation, screaming, overweight, pain, nausea and vomiting, adverse reaction, stress, divorced, snoring, Depression, erectile dysfunction, ache, hangover, scratch, diarrhea, smoker, crying, nonsmoker, nausea, elective surgery, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, vertigo, terrify, dizziness, swelling, negative thoughts, delivery, worry, boredom, chill, moody, cold sweat, palpitation, distractibility, frustration, Scar, withdraw, alcoholic, headache, shortness of breath, groggy, Nausea, Fall, welt, redness",64.29%
447,Chaparral,"Cance, Herbal Supplementation","passed stones, pain, surgery",65.99%
448,Chateal,Birth Control,"Scar, unhappy, abortion, shooting pain, crying, fall, headache, Crying, nausea, fatigue, weight gain, tired, birth control, redness, ache, pain, constipation, lethargy, Fatigue, moody",47.73%
449,Cheratussin AC,1 Cough,"fever, headache, vomiting, cough, dry throat, pain, Pneumonia, ache, Cough, wheezing",37.54%
450,Children's Dimetapp Decongestant Infant,Nasal Congestion,,65.38%
451,Children's Motrin,"Pain, eve","fever, pain",69.77%
452,Chlophedianol / guaifenesin / pseudoephedrine,Cough and Nasal Congestion,"headache, ache",71.85%
453,Chloral hydrate,Insomnia,"fall, groggy, weight gain",49.44%
454,Chloramphenicol,Bacterial Infection,,63.13%
455,Chlordiazepoxide,"Alcohol Withdrawal, Anxiety, Light Sedation, Opiate Withdrawal","sleepy, dependence, seizure, anger, alcohol problem, fall, tired, vomiting, alcoholism, sweat, biopsy, suicidal, Encephalitis, panic, blood alcohol, pain, tremor, stress, overdose, aura, alcohol poisoning, ache, hangover, diarrhea, heavy legs, crying, nausea, Anxiety, blackout, nightmare, retch, difficulty, Alcoholism, worry, cold sweat, withdraw, alcoholic, headache, groggy",66.59%
456,Chlordiazepoxide / clidinium,"Enterocolitis, Irritable Bowel Syndrome, Peptic Ulce","tired, hoarseness, flatulence, vomiting, constipation, Stress, sweat, hunger, gag, drug screen, drowsiness, surgery, suicidal, pain, nausea and vomiting, stress, aura, ache, diarrhea, nausea, wound, fatigue, cough, Constipation, spasm, flare, headache, Pain",64.97%
457,Chlorhexidine,"Gingivitis, Mucositis, Periodontitis, Skin Disinfection, Preoperative","transfusion, pain, traction, Skin infection, swelling, burning sensation, surgery",53.75%
458,Chlorothiazide,Edema,pain,73.35%
459,Chlorpheniramine,"Allergic Reactions, Allergic Rhinitis, Cold Symptoms, Urticaria","sleepy, fever, diarrhea, vomiting, pain, sneeze, swelling, drowsiness",67.99%
460,Chlorpheniramine / dextromethorphan,Cough and Nasal Congestion,"ache, headache, pain, nausea",33.60%
461,Chlorpheniramine / dextromethorphan / phenylephrine,Cough and Nasal Congestion,,60.92%
462,Chlorpheniramine / dextromethorphan / pseudoephedrine,Cough and Nasal Congestion,"cough, headache, ache, Cough",76.62%
463,Chlorpheniramine / hydrocodone,"Cold Symptoms, Cough, Not Listed / Othe","sleepy, fall, tired, vomiting, constipation, sweat, exhaustion, drowsiness, surgery, fever, pain, overdose, ache, Cough, hangover, smoker, nausea, cough, dizziness, night sweat, withdraw, headache, groggy, Fall, lethargy, opiates, redness",66.20%
464,Chlorpheniramine / hydrocodone / phenylephrine,Cough and Nasal Congestion,cough,74.67%
465,Chlorpheniramine / methscopolamine / phenylephrine,"Nasal Congestion, Rhinitis","nausea, nausea and vomiting, vomiting",64.81%
466,Chlorpheniramine / methscopolamine / pseudoephedrine,"Allergic Rhinitis, Sinus Symptoms",drowsiness,69.51%
467,Chlorpheniramine / phenylephrine,Allergic Rhinitis,sleepy,94.00%
468,Chlorpheniramine / pseudoephedrine,"Allergic Rhinitis, Sinusitis",swelling,55.06%
469,Chlorpromazine,"Hiccups, Mania, Opiate Withdrawal, Psychosis, Schizophrenia","mania, withdraw, tired, panic, nightmare, weight gain, dizziness, Depression, flat affect, drowsiness",62.74%
470,Chlorthalidone,"Edema, High Blood Pressure","diarrhea, headache, nausea, fatigue, difficulty, ache",33.47%
471,Chlorzoxazone,Muscle Spasm,"sleepy, tired, vomiting, endoscopy, pain management, sweat, myalgia, drowsiness, surgery, sciatica, pain, Headache, drug interaction, ache, hangover, diarrhea, nausea, fatigue, dizziness, stiffness, spasm, withdraw, headache, Pain, redness",47.03%
472,Cholecalciferol,Vitamin D Deficiency,,66.48%
473,Cholecalciferol / folic acid,Dietary Supplementation,pain,43.00%
474,Cholestyramine,"Crohn's Disease, Dumping Syndrome, Irritable Bowel Syndrome, Not Listed / Othe, Post-Cholecystectomy Diarrhea, Pruritus of Partial Biliary Obstruction","diarrhea, flare, surgery, headache, nausea, panic, nightmare, weight gain, heartburn, colonoscopy, pain, constipation, adverse reaction, stress, gag, aura, ache, exhaustion, fat intolerance",67.48%
475,Cholestyramine Light,"Crohn's Disease, Irritable Bowel Syndrome",pain,78.21%
476,Chondroitin / glucosamine,"Dietary Supplementation, Osteoarthritis",pain,50.76%
477,Chondroitin / glucosamine / methylsulfonylmethane,Osteoarthritis,"pain, swelling",44.37%
478,Chorionic gonadotropin (hcg),"Hypogonadism, Male, Obesity","headache, pain, ache, stress",50.98%
479,Chromium picolinate,"Diabetes, Type 2, Vitamin/Mineral Supplementation and Deficiency","anger, surgery, stress",69.61%
480,Cialis,"1 1 5  Benign Prostatic Hyperplasia, Erectile Dysfunction","Amnesia, seizure, adverse effect, tired, heartburn, Stress, gag, staring, retrograde ejaculation, no adverse effect, surgery, myalgia, blood test, stuffy nose, panic, elation, overweight, pain, Erectile dysfunction, divorced, stress, erectile dysfunction, tinnitus, ache, diarrhea, smoker, Anxiety, difficulty, stiffness, flushing, snuffle, worry, frustration, elderly, withdraw, headache, shortness of breath, floppy, Hyperplasia, redness",65.03%
481,Ciclesonide,Allergic Rhinitis,"headache, ache, stuffy nose",51.72%
482,Ciclodan,"Onychomycosis, Toenail",pain,82.56%
483,Ciclopirox,"Onychomycosis, Fingernail, Onychomycosis, Toenail, Seborrheic Dermatitis, Tinea Pedis",pain,51.97%
484,Cilostazol,Intermittent Claudication,"seizure, numbness, headache, Pain, pain, ache",59.64%
485,Cimetidine,"GERD, Indigestion, Stomach Ulce","pain, heartburn",74.57%
486,Cimzia,"Ankylosing Spondylitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Psoriatic Arthritis, Rheumatoid Arthritis","diarrhea, flare, Infection, Abdominal pain, headache, Psoriasis, weight gain, cough, pain, swelling, stiffness, ache, worry",53.03%
487,Cinacalcet,Secondary Hyperparathyroidism,"tired, Abnormal dreams, pain, difficulty, dialysis, surgery, redness",48.15%
488,Cinryze,Hereditary Angioedema,"hypotension, nausea, vomiting, nausea and vomiting, swelling",58.38%
489,Cipro,"  Anthrax, Bacterial Infection, Bladder Infection, Bone infection, Bronchitis, Cholera, Crohn's Disease, Diverticulitis, Kidney Infections, Prostatitis, Sinusitis, Skin or Soft Tissue Infection, Traveler's Diarrhea, Typhoid Feve, Urinary Tract Infection","acute abdomen, seizure, Infection, anger, abdominal infection, tired, vomiting, heartburn, tendon pain, sweat, surgery, drowsiness, suicidal, fever, numbness, panic, excruciating pain, pain, tendon rupture, physical examination, tremor, kidney infection, burning sensation, lung infection, ache, scratch, diarrhea, crying, nausea, muscle tightness, bite, Anxiety, nightmare, fatigue, cough, dizziness, swelling, dizzy spells, flushing, anorexia, worry, chill, palpitation, Scar, spasm, headache, shortness of breath, Pain, open fracture, amputation, redness",40.01%
490,Ciprofloxacin,"Acute Otitis Externa, Bacterial Infection, Bladder Infection, Bronchitis, Crohn's Disease, Diverticulitis, Epididymitis, Sexually Transmitted, Gonococcal Infection, Uncomplicated, Infectious Diarrhea, Kidney Infections, Not Listed / Othe, Pneumonia, Prostatitis, Salmonella Gastroenteritis, Sinusitis, Skin or Soft Tissue Infection, Traveler's Diarrhea, Tympanostomy Tube Placement Surgery, Urinary Tract Infection","sleepy, seizure, Infection, anger, fall, tired, muscle twitch, feeling cold, vomiting, heartburn, moan, tendon pain, sweat, agitation, myalgia, exhaustion, surgery, drowsiness, fever, Kidney infection, numbness, panic, elation, mitochondrial toxicity, unwell, traction, pain, burning sensation, adverse reaction, kidney infection, stress, Chills, tremor, nausea and vomiting, ache, heavy feeling, prostate infection, Vomiting, hot flush, scratch, diarrhea, nausea, bite, fatigue, nightmare, weight gain, terrify, Mass, difficulty, cough, retch, dizziness, life support, swelling, stiffness, dizzy spells, malaise, worry, chill, hysterectomy, Scar, spasm, flare, shooting pain, moaning, headache, groggy, Pain, Nausea, sneeze, welt, redness",37.75%
491,Ciprofloxacin / dexamethasone,"Otitis Externa, Otitis Media","fever, fall, headache, vomiting, vertigo, pain, dizziness, swelling, tinnitus, ache",43.00%
492,Cisplatin,Brain Tum,,94.00%
493,Citalopram,"Agitation, Anxiety and Stress, Bipolar Disorde, Borderline Personality Disorde, Depression, Generalized Anxiety Disorde, Hot Flashes, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Persistent Depressive Disorde, Post Traumatic Stress Disorde, Postpartum Depression, Premenstrual Dysphoric Disorde, Severe Mood Dysregulation, Trichotillomania","anger, fall, tired, Psoriasis, vomiting, heartburn, flatulence, feeling hopeless, exhaustion, surgery, fever, tunnel vision, tremor, hot flush, diarrhea, claustrophobia, unhappy, unable to concentrate, obsessive thoughts, bite, fatigue, wound, Anxiety, weight gain, retch, difficulty, dizzy spells, flushing, trance, worry, cold sweat, unemployment, alcoholic, lightheadedness, increased appetite, redness, mania, dependence, hypotension, sleeplessness, compulsions, constipation, sweat, hunger, nervousness, flat affect, drowsiness, suicidal, mastectomy, numbness, divorced, ache, bereavement, crying, dullness, feeling strange, negative thoughts, rale, drowning, feeling suicidal, groggy, postpartum depression, seizure, Stress, depressed mood, depressive symptom, psychotherapy, gag, anxiety disorder, stress at work, Autism, pain, autism, Depression, drug interaction, erectile dysfunction, Headache, aura, tinnitus, Migraine, hangover, nausea, derealisation, cough, vertigo, weepiness, Insomnia, feelings of worthlessness, underweight, frustration, withdraw, shortness of breath, Nausea, lethargy, sleepy, Crying, acupuncture, agitation, panic, elation, stress, marital problem, yawning, delusion, gambling, murder, nightmare, dizziness, anorexia, chill, hysterectomy, moody, palpitation, night sweat, flare, headache, birth control",55.61%
494,CitraNatal 90 DHA,Vitamin/Mineral Supplementation during Pregnancy/Lactation,"headache, nausea, heartburn, pain, ache",59.50%
495,Citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation,"sleepy, colorectal cancer, fall, tired, vomiting, endoscopy, constipation, salt craving, sweat, biopsy, gag, fever, pain, burning sensation, paresis, adverse reaction, Headache, ache, diarrhea, nausea, colonoscopy, difficulty, dizziness, rale, worry, chill, frustration, withdraw, headache",45.04%
496,Citric acid / potassium citrate,Urinary Tract Stones,,88.75%
497,Citric acid / simethicone / sodium bicarbonate,Gas,,79.86%
498,Claravis,Acne,"anger, fall, tired, scab, sweat, sebaceous hyperplasia, suicidal, pregnancy test, pain, Headache, ache, chapped lips, fatigue, retch, swelling, flushing, worry, palpitation, spasm, flare, headache, shortness of breath, birth control, redness",60.00%
499,Clarifoam EF,"Acne, Rosacea","pustule, pain, flare",66.30%
500,Clarithromycin,"Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Legionella Pneumonia, Mycobacterium avium-intracellulare, Treatment, Mycoplasma Pneumonia, Not Listed / Othe, Otitis Media, Pertussis, Pertussis Prophylaxis, Pharyngitis, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Strep Throat, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, llicular Lymphoma","sleeplessness, anger, sinus pain, fall, tired, out of breath, vomiting, gurgle, heartburn, bronchial infection, constipation, sweat, hunger, nervousness, productive cough, gag, anxiety disorder, surgery, wound infection, wheezing, Diarrhoea, Dizziness, fever, numbness, panic, excruciating pain, unwell, pain, adverse reaction, Tremor, stress, lung infection, grimacing, Pneumonia, tinnitus, ache, Pharyngitis, diarrhea, smoker, crying, nausea, wound, fatigue, nightmare, terrify, cough, colonoscopy, difficulty, vertigo, dizziness, swelling, worry, chill, hysterectomy, palpitation, Scar, night sweat, shooting pain, headache, shortness of breath, Pain, Nausea, dry throat, bedridden, lethargy, redness",37.08%
501,Claritin,"Allergic Rhinitis, Urticaria","pain, fatigue, dizziness",26.22%
502,Claritin-D,"Allergic Rhinitis, Nasal Congestion","fever, Scar, Infection, fall, headache, tired, fatigue, cough, dry throat, pain, Insomnia, sneeze, adverse reaction, dizziness, ache, worry",47.46%
503,Claritin-D 24 Hour,"Allergic Rhinitis, Nasal Congestion","rebound effect, fall, fatigue, cough, pain",46.43%
504,ClearLax,"Constipation, Constipation, Acute",pain,68.36%
505,Clemastine,Allergic Rhinitis,fever,76.42%
506,Cleocin,Sinusitis,,70.00%
507,Cleocin HCl,"Bone infection, Skin or Soft Tissue Infection","swelling, bone infection",61.69%
508,Climara,"Atrophic Vaginitis, Hypoestrogenism, Oophorectomy, Osteoporosis, Postmenopausal Symptoms","hot flush, menopausal symptoms, night sweat, sleeplessness, crying, headache, moody, retch, difficulty, Insomnia, sweat, ache, surgery, hysterectomy",52.97%
509,Climara Pro,1 Postmenopausal Symptoms,"frustration, night sweat, headache, nightmare, retch, Fall, difficulty, sweat, biopsy, ache",33.06%
510,Clindamycin,"Acne, Bacterial Infection, Bacterial Vaginitis, Bone infection, Deep Neck Infection, Not Listed / Othe, Peritonitis, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Surgical Prophylaxis","sleepy, chest tightness, adverse effect, Infection, anger, sinus pain, fall, tired, scab, vomiting, endoscopy, heartburn, constipation, surgery, drowsiness, anal abscess, fever, numbness, scar tissue, stuffy nose, panic, uterine cancer, lesion, excruciating pain, elation, traction, pain, burning sensation, stress, Headache, overdose, x-ray, ache, bacterial culture, chapped lips, scratch, diarrhea, bone infection, crying, nausea, bite, wound, fatigue, nightmare, terrify, cough, gastric bypass, pericoronitis, difficulty, Skin infection, oral surgery, dizziness, swelling, vertigo, worry, chill, tooth infection, spasm, flare, alcoholic, headache, shortness of breath, tooth extraction, chest discomfort, lightheadedness, Pain, Nausea, dry throat, bedridden, redness",42.47%
511,Clindamycin / tretinoin,Acne,"red blotches, diarrhea, flare, anger, tired, scab, ache, birth control, cough, pain, purging, sweat, swelling, stress, ingrown hair, worry, redness",54.49%
512,Clinpro 5000,Prevention of Dental Caries,,85.94%
513,Clioquinol,Tinea Pedis,,70.00%
514,Clobazam,"Epilepsy, Lennox-Gastaut Syndrome","crying, constipation, difficulty, seizure",53.94%
515,Clobetasol,"Anal Itching, Atopic Dermatitis, Dermatitis, Dermatological Disorders, Lichen Planus, Lichen Sclerosus, Not Listed / Othe, Psoriasis","massage, scratch, night sweat, flare, lesion, retch, pain, Alopecia, sweat, biopsy, redness",69.12%
516,Clobex,"Atopic Dermatitis, Dermatitis, Eczema, Lichen Planus, Lichen Sclerosus, Psoriasis","pustular psoriasis, Vasculitis, flare, Psoriasis, retch, pain, guttate psoriasis, stress, wheezing, redness",63.88%
517,Cloderm,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis",redness,67.95%
518,Clomiphene,"Oligospermia, Ovulation Induction, emale Infertility","stress, hot flush, blood test, numbness, transfusion, tired, headache, nausea, fatigue, ache, pregnancy test, Fall, conjoined twins, pain, dizziness, kidney infection, multiple pregnancy, suicidal, surgery",55.83%
519,Clomipramine,"Depression, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Premature Ejaculation, Trichotillomania","mania, sleepy, hypotension, fall, tired, compulsions, constipation, psychotherapy, sweat, agitation, hunger, myalgia, drowsiness, suicidal, Tic, panic, elation, pain, panic disorder with agoraphobia, tremor, social phobia, stress, ache, unhappy, obsessive thoughts, nausea, nightmare, weight gain, difficulty, worry, palpitation, headache, anorgasmia",61.94%
520,Clonazepam,"Anxiety, Benzodiazepine Withdrawal, Bipolar Disorde, Borderline Personality Disorde, Burning Mouth Syndrome, Chronic Myofascial Pain, Hyperekplexia, Insomnia, Migraine Prevention, Night Terrors, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Periodic Limb Movement Disorde, Restless Legs Syndrome, Seizure Prevention, Sleep Paralysis, Temporomandibular Joint Disorde","mania, dependence, sleepy, seizure, adverse effect, anger, fall, tired, affective disorder, vomiting, redness, constipation, Stress, sweat, clonus, agitation, nervousness, hunger, myalgia, drug screen, flat affect, anxiety disorder, surgery, Anxiety disorder, drowsiness, skull fracture, suicidal, myoclonus, panic, elation, Epilepsy, fatigue, snore, overweight, pain, burning sensation, tremor, stress, social phobia, Depression, overdose, aura, tinnitus, ache, hangover, crying, chondritis, nausea, wound, Anxiety, legal problem, sleep terror, nightmare, Mass, difficulty, weight gain, Insomnia, dizziness, swelling, stiffness, vertigo, burning mouth syndrome, negative thoughts, worry, chill, terrify, Dependence, Myoclonus, Scar, spasm, night sweat, withdraw, dystonia, palpitation, alcoholic, headache, flare, groggy, Nausea, hypomania, opiates, increased appetite",61.06%
521,Clonidine,"ADHD, Alcohol Withdrawal, Anxiety, Benzodiazepine Withdrawal, Bipolar Disorde, High Blood Pressure, Hyperhidrosis, Hypertensive Emergency, Insomnia, Stimulant-Associated, Migraine Prevention, Opiate Withdrawal, Perimenopausal Symptoms, Postural Orthostatic Tachycardia Syndrome, Restless Legs Syndrome, Tourette's Syndrome","sleepy, hypotension, sleeplessness, anger, compression fracture, fall, tired, sympathectomy, vomiting, pain management, constipation, sweat, agitation, gag, myalgia, occipital neuralgia, anxiety disorder, surgery, drowsiness, Tachycardia, delayed sleep phase, Autism, fever, Tic, bone graft, carditis, panic, excruciating pain, pain, tremor, stress, social phobia, snoring, overdose, autism, electric shock, aura, ache, hot flush, hangover, diarrhea, smoker, crying, nausea, fatigue, murder, Anxiety, nightmare, Mass, difficulty, Insomnia, dizziness, swelling, dizzy spells, flushing, worry, chill, moody, cold sweat, palpitation, frustration, spasm, night sweat, withdraw, headache, shortness of breath, lightheadedness, Pain, groggy, opiates, amputation, redness",54.89%
522,Clopidogrel,"Heart Attack, Ischemic Stroke, Peripheral Arterial Disease, Transient Ischemic Attack","headache, nausea, visual disturbance, nightmare, pain, constipation, dizziness, lethargy, ache",38.62%
523,Clorazepate,Anxiety,"sleepy, withdraw, panic, dizziness, social phobia, stress, worry, anxiety disorder",64.44%
524,Clotrimazole,"Cutaneous Candidiasis, Oral Thrush, Tinea Corporis, Tinea Versicol, Vaginal Yeast Infection","pain, Scar",42.76%
525,Clozapine,"Borderline Personality Disorde, Not Listed / Othe, Paranoid Disorde, Schizophrenia","blood test, Schizophrenia, delusion, seizure, anger, tired, fatigue, affective disorder, weight gain, lethargy, aggression, constipation, agitation, stress",64.40%
526,Co-trimoxazole,Bacterial Skin Infection,dizziness,51.00%
527,CoQ10,Dietary Supplementation,,64.00%
528,Coal tar,Psoriasis,redness,70.56%
529,Coal tar / salicylic acid / sulfur,Psoriasis,flare,61.43%
530,Codeine,"Cough, Diarrhea, Pain","diarrhea, spasm, night sweat, headache, acupuncture, ache, cough, pain, constipation, dizziness, sweat, drowsiness, surgery",56.51%
531,Codeine / guaifenesin,Cough,"headache, nausea, ache, cough, hacking cough, pain, productive cough, drowsiness, Cough, chill",51.41%
532,Codeine / guaifenesin / pseudoephedrine,Cold Symptoms,"cough, headache, ache",2.60%
533,Codeine / promethazine,Cough,"sleepy, spasm, anger, nausea, vomiting, productive cough, lung infection, cough, groggy, pain, hacking cough, sweat, retch, gag, overdose, ache",52.73%
534,Codimal DM,Cold Symptoms,cough,74.95%
535,Coenzyme Q10,2 Dietary Supplementation,angioplasty,69.40%
536,Colace,Constipation,pain,68.00%
537,Colchicine,"Behcet's Disease, Gout, Acute, Gout, Prophylaxis, Pseudogout, Prophylaxis, amilial Mediterranean Feve","Gout, blood test, numbness, diarrhea, flare, fall, nausea, fatigue, Pain, pain, swelling, flushing, x-ray",60.67%
538,Colchicine / probenecid,Gouty Arthritis,"pain, swelling",50.25%
539,Colesevelam,"Diarrhea, Chronic","Malabsorption, diarrhea, anger, fall, colectomy, colonoscopy, pain, tinnitus, aura, worry",67.04%
540,Collagenase,Keratosis,,67.00%
541,Collagenase clostridium histolyticum,"Dupuytren's contracture, Peyronie's Disease","retch, Pain",26.57%
542,Cometriq,Thyroid Cance,"nausea, pain, diarrhea",7.00%
543,Compazine,"Anxiety, Hiccups, Nausea/Vomiting, Psychosis","sleepy, hyperemesis, anger, fall, tired, vomiting, lumbar puncture headache, agitation, drool, grunting, fever, panic, pain, paresis, nausea and vomiting, ache, diarrhea, crying, nausea, fatigue, blackout, nightmare, dizziness, spasm, withdraw, headache, groggy, lumbar puncture",26.68%
544,Compoz Nighttime Sleep Aid,Insomnia,,69.18%
545,Comtan,Parkinson's Disease,,29.10%
546,Concerta,"1  3 ADHD, Narcolepsy, atigue","sleepy, seizure, anger, fall, tired, muscle twitch, vomiting, sweat, agitation, hunger, nervousness, gag, drowsiness, suicidal, tunnel vision, panic, elation, aggression, screaming, overweight, traction, pain, adverse reaction, stress, Headache, Depression, Anger, tinnitus, ache, rebound effect, amphetamines, hot flush, scratch, unhappy, crying, nausea, fatigue, nightmare, weight gain, retch, difficulty, Insomnia, dizziness, delivery, negative thoughts, worry, underweight, drowning, moody, palpitation, spasm, withdraw, daydreaming, sleep paralysis, headache, shortness of breath, Nausea, personality change, redness",52.60%
547,Condylox,Condylomata Acuminata,pain,54.17%
548,Conestat alfa,Hereditary Angioedema,,80.43%
549,Conjugated estrogens,"Abnormal Uterine Bleeding, Atrophic Vaginitis, Hypoestrogenism, Oophorectomy, Osteoporosis, Postmenopausal Symptoms, Primary Ovarian Failure","menopausal symptoms, sleeplessness, fall, tired, constipation, sweat, surgery, panic, pain, ache, Atrophy, crying, Anxiety, nightmare, dizziness, swelling, Breast cancer, hysterectomy, night sweat, withdraw, headache, welt, redness",58.69%
550,Conjugated estrogens / medroxyprogesterone,"Oophorectomy, Postmenopausal Symptoms","sleepy, night sweat, tired, nausea, groggy, pain, sweat, stress, surgery",54.53%
551,Contrave," 1 2 2 2  Obesity, Weight Loss","anger, fall, tired, vomiting, heartburn, allergy test, surgery, fever, Tic, nausea and vomiting, tremor, diarrhea, unable to concentrate, bite, wound, Anxiety, weight gain, fatigue, retch, gastric bypass, Acute generalised exanthematous pustulosis, difficulty, dizzy spells, flushing, worry, alcoholic, lightheadedness, redness, adverse effect, sleeplessness, alcoholism, constipation, sweat, hunger, projectile vomiting, nervousness, impatience, flat affect, drowsiness, suicidal, Hepatitis, numbness, excruciating pain, ache, Vomiting, crying, binge eating, feeling guilty, delivery, boredom, hormone therapy, groggy, insulin resistance, seizure, out of breath, muscle twitch, gag, Dizziness, overweight, pain, burning sensation, Depression, drug interaction, Headache, aura, tinnitus, Migraine, hangover, smoker, nausea, cough, vertigo, stiffness, frustration, withdraw, shortness of breath, Nausea, Back pain, lethargy, food craving, sleepy, acupuncture, rhinoplasty, agitation, myalgia, panic, elation, stress, massage, yawning, delusion, murder, nightmare, Discomfort, dizziness, sedentary, Constipation, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, flare, headache",49.90%
552,Copaxone,Multiple Sclerosis,"chest tightness, fall, tired, blood count, vomiting, pain management, fear of needles, Encephalitis, fever, numbness, injection site discomfort, side pain, scar tissue, panic, lesion, elation, pain, burning sensation, adverse reaction, electric shock, ache, massage, nausea, fatigue, nightmare, weight gain, retch, swelling, worry, chill, palpitation, spasm, flare, breast feeding, headache, Pain, welt, redness",56.29%
553,Copegus,Hepatitis C,"transfusion, blood test",57.24%
554,Copper,Birth Control,"seizure, tired, vomiting, sweat, unwanted pregnancy, hysteroscopy, numbness, panic, excruciating pain, elation, pregnancy test, traction, pain, burning sensation, stress, x-ray, overdose, tubal ligation, ache, smoker, crying, nausea, fatigue, nightmare, weight gain, retch, cough, difficulty, dizziness, swelling, dizzy spells, trance, worry, moody, abortion, shooting pain, headache, Pain, birth control, Nausea, low back pain, decreased interest",55.14%
555,Cordarone,Arrhythmia,"tired, nausea, cough, pain, constipation",32.44%
556,Coreg,"Atrial Fibrillation, Heart Failure, High Blood Pressure, Left Ventricular Dysfunction","palpitation, numbness, smoker, Sepsis, tired, headache, fatigue, pain, dizziness, swelling, ache",54.83%
557,Coreg CR,"Atrial Fibrillation, Heart Failure, High Blood Pressure","tired, redness",53.91%
558,Corgard,"Angina, High Blood Pressure, Migraine Prevention, Supraventricular Tachycardia","Headache, palpitation, ache",70.94%
559,Coricidin HBP Cold & Flu,"Cold Symptoms, Influenza",worry,54.57%
560,Coricidin HBP Cough & Cold,Cough and Nasal Congestion,"cough, headache, ache, vomiting",35.41%
561,Corn Huskers Lotion,Dry Skin,,74.38%
562,Corticotropin,"Multiple Sclerosis, cal Segmental Glomerulosclerosis","pain, spasm, unsteady gait",72.68%
563,Cortisone,Dermatomyositis,,34.00%
564,Cortisporin Otic,Otitis Externa,,-3.71%
565,Corzide 80 / 5,High Blood Pressure,,76.00%
566,Cosentyx,"Ankylosing Spondylitis, Plaque Psoriasis, Psoriatic Arthritis","sleepy, diarrhea, flare, tired, headache, nausea, fatigue, stuffy nose, cough, Back pain, pain, swelling, ache, exhaustion, redness",44.48%
567,Coumadin,"Antiphospholipid Syndrome, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, First Event, Deep Vein Thrombosis, Recurrent Event, Prevention of Thromboembolism in Atrial Fibrillation, Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis, Pulmonary Embolism, First Event","scratch, aortic valve replacement, headache, excruciating pain, pain, ache",61.25%
568,Cozaar,"6 Diabetic Kidney Disease, High Blood Pressure","hypotension, tired, heartburn, surgery, Cardiomyopathy, Tachycardia, Dizziness, pain, stress, erectile dysfunction, aura, ache, nausea, weight gain, cough, dizziness, swelling, flushing, headache, low back pain, lethargy, Pancreatitis",47.56%
569,Cranberry,"Urinary Incontinence, Urinary Tract Infection",Hyperplasia,74.62%
570,Creatine,"Herbal Supplementation, Not Listed / Othe","pain, diarrhea, ache",23.86%
571,Creon,"Chronic Pancreatitis, Cystic Fibrosis, Pancreatic Exocrine Dysfunction","diarrhea, headache, nausea, vomiting, cough, pain, ache",47.89%
572,Crestor,"Atherosclerosis, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Prevention of Cardiovascular Disease","anger, tired, constipation, Sciatica, gag, surgery, fever, blood test, numbness, overweight, pain, tinnitus, ache, Surgery, nausea, fatigue, nightmare, weight gain, retch, Mass, muscle mass, difficulty, cough, swelling, stiffness, worry, wheelchair bound, palpitation, liver function test, spasm, headache, personality change, redness",46.08%
573,Crinone,Progesterone Insufficiency,,16.00%
574,Crisaborole,Atopic Dermatitis,"fever, scratch, flare, anger, headache, Dermatitis, excruciating pain, pain, stress, gag, ache",47.45%
575,Crizotinib,Non-Small Cell Lung Cance,nausea,76.09%
576,Cromolyn,"Asthma, Maintenance, Systemic Mastocytosis","diarrhea, flatulence",63.50%
577,Crotamiton,Pruritus,bite,81.70%
