drugName,condition,Side_Effect,effectiveness
Chlorpheniramine / hydrocodone / phenylephrine,Cough and Nasal Congestion,cough,74.67%
Chlorpheniramine / methscopolamine / phenylephrine,"Nasal Congestion, Rhinitis","nausea, nausea and vomiting, vomiting",64.81%
Chlorpheniramine / methscopolamine / pseudoephedrine,"Allergic Rhinitis, Sinus Symptoms",drowsiness,69.51%
Chlorpheniramine / phenylephrine,Allergic Rhinitis,sleepy,94.00%
Chlorpheniramine / pseudoephedrine,"Allergic Rhinitis, Sinusitis",swelling,55.06%
Chlorpromazine,"Hiccups, Mania, Opiate Withdrawal, Psychosis, Schizophrenia","mania, withdraw, tired, panic, nightmare, weight gain, dizziness, Depression, flat affect, drowsiness",62.74%
Chlorthalidone,"Edema, High Blood Pressure","diarrhea, headache, nausea, fatigue, difficulty, ache",33.47%
Chlorzoxazone,Muscle Spasm,"sleepy, tired, vomiting, endoscopy, pain management, sweat, myalgia, drowsiness, surgery, sciatica, pain, Headache, drug interaction, ache, hangover, diarrhea, nausea, fatigue, dizziness, stiffness, spasm, withdraw, headache, Pain, redness",47.03%
Cholecalciferol / folic acid,Dietary Supplementation,pain,43.00%
Cholestyramine,"Crohn's Disease, Dumping Syndrome, Irritable Bowel Syndrome, Not Listed / Othe, Post-Cholecystectomy Diarrhea, Pruritus of Partial Biliary Obstruction","diarrhea, flare, surgery, headache, nausea, panic, nightmare, weight gain, heartburn, colonoscopy, pain, constipation, adverse reaction, stress, gag, aura, ache, exhaustion, fat intolerance",67.48%
Cholestyramine Light,"Crohn's Disease, Irritable Bowel Syndrome",pain,78.21%
Chondroitin / glucosamine,"Dietary Supplementation, Osteoarthritis",pain,50.76%
Chondroitin / glucosamine / methylsulfonylmethane,Osteoarthritis,"pain, swelling",44.37%
Chorionic gonadotropin (hcg),"Hypogonadism, Male, Obesity","headache, pain, ache, stress",50.98%
Chromium picolinate,"Diabetes, Type 2, Vitamin/Mineral Supplementation and Deficiency","anger, surgery, stress",69.61%
Cialis,"1 1 5  Benign Prostatic Hyperplasia, Erectile Dysfunction","Amnesia, seizure, adverse effect, tired, heartburn, Stress, gag, staring, retrograde ejaculation, no adverse effect, surgery, myalgia, blood test, stuffy nose, panic, elation, overweight, pain, Erectile dysfunction, divorced, stress, erectile dysfunction, tinnitus, ache, diarrhea, smoker, Anxiety, difficulty, stiffness, flushing, snuffle, worry, frustration, elderly, withdraw, headache, shortness of breath, floppy, Hyperplasia, redness",65.03%
Ciclesonide,Allergic Rhinitis,"headache, ache, stuffy nose",51.72%
Ciclodan,"Onychomycosis, Toenail",pain,82.56%
Ciclopirox,"Onychomycosis, Fingernail, Onychomycosis, Toenail, Seborrheic Dermatitis, Tinea Pedis",pain,51.97%
Cilostazol,Intermittent Claudication,"seizure, numbness, headache, Pain, pain, ache",59.64%
Cimetidine,"GERD, Indigestion, Stomach Ulce","pain, heartburn",74.57%
Cimzia,"Ankylosing Spondylitis, Crohn's Disease, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Psoriatic Arthritis, Rheumatoid Arthritis","diarrhea, flare, Infection, Abdominal pain, headache, Psoriasis, weight gain, cough, pain, swelling, stiffness, ache, worry",53.03%
Cinacalcet,Secondary Hyperparathyroidism,"tired, Abnormal dreams, pain, difficulty, dialysis, surgery, redness",48.15%
Cinryze,Hereditary Angioedema,"hypotension, nausea, vomiting, nausea and vomiting, swelling",58.38%
Cipro,"  Anthrax, Bacterial Infection, Bladder Infection, Bone infection, Bronchitis, Cholera, Crohn's Disease, Diverticulitis, Kidney Infections, Prostatitis, Sinusitis, Skin or Soft Tissue Infection, Traveler's Diarrhea, Typhoid Feve, Urinary Tract Infection","acute abdomen, seizure, Infection, anger, abdominal infection, tired, vomiting, heartburn, tendon pain, sweat, surgery, drowsiness, suicidal, fever, numbness, panic, excruciating pain, pain, tendon rupture, physical examination, tremor, kidney infection, burning sensation, lung infection, ache, scratch, diarrhea, crying, nausea, muscle tightness, bite, Anxiety, nightmare, fatigue, cough, dizziness, swelling, dizzy spells, flushing, anorexia, worry, chill, palpitation, Scar, spasm, headache, shortness of breath, Pain, open fracture, amputation, redness",40.01%
Ciprofloxacin,"Acute Otitis Externa, Bacterial Infection, Bladder Infection, Bronchitis, Crohn's Disease, Diverticulitis, Epididymitis, Sexually Transmitted, Gonococcal Infection, Uncomplicated, Infectious Diarrhea, Kidney Infections, Not Listed / Othe, Pneumonia, Prostatitis, Salmonella Gastroenteritis, Sinusitis, Skin or Soft Tissue Infection, Traveler's Diarrhea, Tympanostomy Tube Placement Surgery, Urinary Tract Infection","sleepy, seizure, Infection, anger, fall, tired, muscle twitch, feeling cold, vomiting, heartburn, moan, tendon pain, sweat, agitation, myalgia, exhaustion, surgery, drowsiness, fever, Kidney infection, numbness, panic, elation, mitochondrial toxicity, unwell, traction, pain, burning sensation, adverse reaction, kidney infection, stress, Chills, tremor, nausea and vomiting, ache, heavy feeling, prostate infection, Vomiting, hot flush, scratch, diarrhea, nausea, bite, fatigue, nightmare, weight gain, terrify, Mass, difficulty, cough, retch, dizziness, life support, swelling, stiffness, dizzy spells, malaise, worry, chill, hysterectomy, Scar, spasm, flare, shooting pain, moaning, headache, groggy, Pain, Nausea, sneeze, welt, redness",37.75%
Ciprofloxacin / dexamethasone,"Otitis Externa, Otitis Media","fever, fall, headache, vomiting, vertigo, pain, dizziness, swelling, tinnitus, ache",43.00%
Citalopram,"Agitation, Anxiety and Stress, Bipolar Disorde, Borderline Personality Disorde, Depression, Generalized Anxiety Disorde, Hot Flashes, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Persistent Depressive Disorde, Post Traumatic Stress Disorde, Postpartum Depression, Premenstrual Dysphoric Disorde, Severe Mood Dysregulation, Trichotillomania","anger, fall, tired, Psoriasis, vomiting, heartburn, flatulence, feeling hopeless, exhaustion, surgery, fever, tunnel vision, tremor, hot flush, diarrhea, claustrophobia, unhappy, unable to concentrate, obsessive thoughts, bite, fatigue, wound, Anxiety, weight gain, retch, difficulty, dizzy spells, flushing, trance, worry, cold sweat, unemployment, alcoholic, lightheadedness, increased appetite, redness, mania, dependence, hypotension, sleeplessness, compulsions, constipation, sweat, hunger, nervousness, flat affect, drowsiness, suicidal, mastectomy, numbness, divorced, ache, bereavement, crying, dullness, feeling strange, negative thoughts, rale, drowning, feeling suicidal, groggy, postpartum depression, seizure, Stress, depressed mood, depressive symptom, psychotherapy, gag, anxiety disorder, stress at work, Autism, pain, autism, Depression, drug interaction, erectile dysfunction, Headache, aura, tinnitus, Migraine, hangover, nausea, derealisation, cough, vertigo, weepiness, Insomnia, feelings of worthlessness, underweight, frustration, withdraw, shortness of breath, Nausea, lethargy, sleepy, Crying, acupuncture, agitation, panic, elation, stress, marital problem, yawning, delusion, gambling, murder, nightmare, dizziness, anorexia, chill, hysterectomy, moody, palpitation, night sweat, flare, headache, birth control",55.61%
CitraNatal 90 DHA,Vitamin/Mineral Supplementation during Pregnancy/Lactation,"headache, nausea, heartburn, pain, ache",59.50%
Citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation,"sleepy, colorectal cancer, fall, tired, vomiting, endoscopy, constipation, salt craving, sweat, biopsy, gag, fever, pain, burning sensation, paresis, adverse reaction, Headache, ache, diarrhea, nausea, colonoscopy, difficulty, dizziness, rale, worry, chill, frustration, withdraw, headache",45.04%
Claravis,Acne,"anger, fall, tired, scab, sweat, sebaceous hyperplasia, suicidal, pregnancy test, pain, Headache, ache, chapped lips, fatigue, retch, swelling, flushing, worry, palpitation, spasm, flare, headache, shortness of breath, birth control, redness",60.00%
Clarifoam EF,"Acne, Rosacea","pustule, pain, flare",66.30%
Clarithromycin,"Bronchitis, Dental Abscess, Helicobacter Pylori Infection, Legionella Pneumonia, Mycobacterium avium-intracellulare, Treatment, Mycoplasma Pneumonia, Not Listed / Othe, Otitis Media, Pertussis, Pertussis Prophylaxis, Pharyngitis, Pneumonia, Sinusitis, Skin and Structure Infection, Skin or Soft Tissue Infection, Strep Throat, Tonsillitis/Pharyngitis, Upper Respiratory Tract Infection, llicular Lymphoma","sleeplessness, anger, sinus pain, fall, tired, out of breath, vomiting, gurgle, heartburn, bronchial infection, constipation, sweat, hunger, nervousness, productive cough, gag, anxiety disorder, surgery, wound infection, wheezing, Diarrhoea, Dizziness, fever, numbness, panic, excruciating pain, unwell, pain, adverse reaction, Tremor, stress, lung infection, grimacing, Pneumonia, tinnitus, ache, Pharyngitis, diarrhea, smoker, crying, nausea, wound, fatigue, nightmare, terrify, cough, colonoscopy, difficulty, vertigo, dizziness, swelling, worry, chill, hysterectomy, palpitation, Scar, night sweat, shooting pain, headache, shortness of breath, Pain, Nausea, dry throat, bedridden, lethargy, redness",37.08%
Claritin,"Allergic Rhinitis, Urticaria","pain, fatigue, dizziness",26.22%
Claritin-D,"Allergic Rhinitis, Nasal Congestion","fever, Scar, Infection, fall, headache, tired, fatigue, cough, dry throat, pain, Insomnia, sneeze, adverse reaction, dizziness, ache, worry",47.46%
Claritin-D 24 Hour,"Allergic Rhinitis, Nasal Congestion","rebound effect, fall, fatigue, cough, pain",46.43%
ClearLax,"Constipation, Constipation, Acute",pain,68.36%
Clemastine,Allergic Rhinitis,fever,76.42%
Cleocin HCl,"Bone infection, Skin or Soft Tissue Infection","swelling, bone infection",61.69%
Climara,"Atrophic Vaginitis, Hypoestrogenism, Oophorectomy, Osteoporosis, Postmenopausal Symptoms","hot flush, menopausal symptoms, night sweat, sleeplessness, crying, headache, moody, retch, difficulty, Insomnia, sweat, ache, surgery, hysterectomy",52.97%
Climara Pro,1 Postmenopausal Symptoms,"frustration, night sweat, headache, nightmare, retch, Fall, difficulty, sweat, biopsy, ache",33.06%
Clindamycin,"Acne, Bacterial Infection, Bacterial Vaginitis, Bone infection, Deep Neck Infection, Not Listed / Othe, Peritonitis, Pneumonia, Sinusitis, Skin or Soft Tissue Infection, Surgical Prophylaxis","sleepy, chest tightness, adverse effect, Infection, anger, sinus pain, fall, tired, scab, vomiting, endoscopy, heartburn, constipation, surgery, drowsiness, anal abscess, fever, numbness, scar tissue, stuffy nose, panic, uterine cancer, lesion, excruciating pain, elation, traction, pain, burning sensation, stress, Headache, overdose, x-ray, ache, bacterial culture, chapped lips, scratch, diarrhea, bone infection, crying, nausea, bite, wound, fatigue, nightmare, terrify, cough, gastric bypass, pericoronitis, difficulty, Skin infection, oral surgery, dizziness, swelling, vertigo, worry, chill, tooth infection, spasm, flare, alcoholic, headache, shortness of breath, tooth extraction, chest discomfort, lightheadedness, Pain, Nausea, dry throat, bedridden, redness",42.47%
Clindamycin / tretinoin,Acne,"red blotches, diarrhea, flare, anger, tired, scab, ache, birth control, cough, pain, purging, sweat, swelling, stress, ingrown hair, worry, redness",54.49%
Clobazam,"Epilepsy, Lennox-Gastaut Syndrome","crying, constipation, difficulty, seizure",53.94%
Clobetasol,"Anal Itching, Atopic Dermatitis, Dermatitis, Dermatological Disorders, Lichen Planus, Lichen Sclerosus, Not Listed / Othe, Psoriasis","massage, scratch, night sweat, flare, lesion, retch, pain, Alopecia, sweat, biopsy, redness",69.12%
Clobex,"Atopic Dermatitis, Dermatitis, Eczema, Lichen Planus, Lichen Sclerosus, Psoriasis","pustular psoriasis, Vasculitis, flare, Psoriasis, retch, pain, guttate psoriasis, stress, wheezing, redness",63.88%
Cloderm,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis",redness,67.95%
Clomiphene,"Oligospermia, Ovulation Induction, emale Infertility","stress, hot flush, blood test, numbness, transfusion, tired, headache, nausea, fatigue, ache, pregnancy test, Fall, conjoined twins, pain, dizziness, kidney infection, multiple pregnancy, suicidal, surgery",55.83%
Clomipramine,"Depression, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Premature Ejaculation, Trichotillomania","mania, sleepy, hypotension, fall, tired, compulsions, constipation, psychotherapy, sweat, agitation, hunger, myalgia, drowsiness, suicidal, Tic, panic, elation, pain, panic disorder with agoraphobia, tremor, social phobia, stress, ache, unhappy, obsessive thoughts, nausea, nightmare, weight gain, difficulty, worry, palpitation, headache, anorgasmia",61.94%
Clonazepam,"Anxiety, Benzodiazepine Withdrawal, Bipolar Disorde, Borderline Personality Disorde, Burning Mouth Syndrome, Chronic Myofascial Pain, Hyperekplexia, Insomnia, Migraine Prevention, Night Terrors, Not Listed / Othe, Obsessive Compulsive Disorde, Panic Disorde, Periodic Limb Movement Disorde, Restless Legs Syndrome, Seizure Prevention, Sleep Paralysis, Temporomandibular Joint Disorde","mania, dependence, sleepy, seizure, adverse effect, anger, fall, tired, affective disorder, vomiting, redness, constipation, Stress, sweat, clonus, agitation, nervousness, hunger, myalgia, drug screen, flat affect, anxiety disorder, surgery, Anxiety disorder, drowsiness, skull fracture, suicidal, myoclonus, panic, elation, Epilepsy, fatigue, snore, overweight, pain, burning sensation, tremor, stress, social phobia, Depression, overdose, aura, tinnitus, ache, hangover, crying, chondritis, nausea, wound, Anxiety, legal problem, sleep terror, nightmare, Mass, difficulty, weight gain, Insomnia, dizziness, swelling, stiffness, vertigo, burning mouth syndrome, negative thoughts, worry, chill, terrify, Dependence, Myoclonus, Scar, spasm, night sweat, withdraw, dystonia, palpitation, alcoholic, headache, flare, groggy, Nausea, hypomania, opiates, increased appetite",61.06%
Clonidine,"ADHD, Alcohol Withdrawal, Anxiety, Benzodiazepine Withdrawal, Bipolar Disorde, High Blood Pressure, Hyperhidrosis, Hypertensive Emergency, Insomnia, Stimulant-Associated, Migraine Prevention, Opiate Withdrawal, Perimenopausal Symptoms, Postural Orthostatic Tachycardia Syndrome, Restless Legs Syndrome, Tourette's Syndrome","sleepy, hypotension, sleeplessness, anger, compression fracture, fall, tired, sympathectomy, vomiting, pain management, constipation, sweat, agitation, gag, myalgia, occipital neuralgia, anxiety disorder, surgery, drowsiness, Tachycardia, delayed sleep phase, Autism, fever, Tic, bone graft, carditis, panic, excruciating pain, pain, tremor, stress, social phobia, snoring, overdose, autism, electric shock, aura, ache, hot flush, hangover, diarrhea, smoker, crying, nausea, fatigue, murder, Anxiety, nightmare, Mass, difficulty, Insomnia, dizziness, swelling, dizzy spells, flushing, worry, chill, moody, cold sweat, palpitation, frustration, spasm, night sweat, withdraw, headache, shortness of breath, lightheadedness, Pain, groggy, opiates, amputation, redness",54.89%
Clopidogrel,"Heart Attack, Ischemic Stroke, Peripheral Arterial Disease, Transient Ischemic Attack","headache, nausea, visual disturbance, nightmare, pain, constipation, dizziness, lethargy, ache",38.62%
Clorazepate,Anxiety,"sleepy, withdraw, panic, dizziness, social phobia, stress, worry, anxiety disorder",64.44%
Clotrimazole,"Cutaneous Candidiasis, Oral Thrush, Tinea Corporis, Tinea Versicol, Vaginal Yeast Infection","pain, Scar",42.76%
Clozapine,"Borderline Personality Disorde, Not Listed / Othe, Paranoid Disorde, Schizophrenia","blood test, Schizophrenia, delusion, seizure, anger, tired, fatigue, affective disorder, weight gain, lethargy, aggression, constipation, agitation, stress",64.40%
Co-trimoxazole,Bacterial Skin Infection,dizziness,51.00%
Coal tar,Psoriasis,redness,70.56%
Coal tar / salicylic acid / sulfur,Psoriasis,flare,61.43%
Codeine,"Cough, Diarrhea, Pain","diarrhea, spasm, night sweat, headache, acupuncture, ache, cough, pain, constipation, dizziness, sweat, drowsiness, surgery",56.51%
Codeine / guaifenesin,Cough,"headache, nausea, ache, cough, hacking cough, pain, productive cough, drowsiness, Cough, chill",51.41%
Codeine / guaifenesin / pseudoephedrine,Cold Symptoms,"cough, headache, ache",2.60%
Codeine / promethazine,Cough,"sleepy, spasm, anger, nausea, vomiting, productive cough, lung infection, cough, groggy, pain, hacking cough, sweat, retch, gag, overdose, ache",52.73%
Codimal DM,Cold Symptoms,cough,74.95%
Coenzyme Q10,2 Dietary Supplementation,angioplasty,69.40%
Colace,Constipation,pain,68.00%
Colchicine,"Behcet's Disease, Gout, Acute, Gout, Prophylaxis, Pseudogout, Prophylaxis, amilial Mediterranean Feve","Gout, blood test, numbness, diarrhea, flare, fall, nausea, fatigue, Pain, pain, swelling, flushing, x-ray",60.67%
Colchicine / probenecid,Gouty Arthritis,"pain, swelling",50.25%
Colesevelam,"Diarrhea, Chronic","Malabsorption, diarrhea, anger, fall, colectomy, colonoscopy, pain, tinnitus, aura, worry",67.04%
Collagenase clostridium histolyticum,"Dupuytren's contracture, Peyronie's Disease","retch, Pain",26.57%
Cometriq,Thyroid Cance,"nausea, pain, diarrhea",7.00%
Compazine,"Anxiety, Hiccups, Nausea/Vomiting, Psychosis","sleepy, hyperemesis, anger, fall, tired, vomiting, lumbar puncture headache, agitation, drool, grunting, fever, panic, pain, paresis, nausea and vomiting, ache, diarrhea, crying, nausea, fatigue, blackout, nightmare, dizziness, spasm, withdraw, headache, groggy, lumbar puncture",26.68%
Concerta,"1  3 ADHD, Narcolepsy, atigue","sleepy, seizure, anger, fall, tired, muscle twitch, vomiting, sweat, agitation, hunger, nervousness, gag, drowsiness, suicidal, tunnel vision, panic, elation, aggression, screaming, overweight, traction, pain, adverse reaction, stress, Headache, Depression, Anger, tinnitus, ache, rebound effect, amphetamines, hot flush, scratch, unhappy, crying, nausea, fatigue, nightmare, weight gain, retch, difficulty, Insomnia, dizziness, delivery, negative thoughts, worry, underweight, drowning, moody, palpitation, spasm, withdraw, daydreaming, sleep paralysis, headache, shortness of breath, Nausea, personality change, redness",52.60%
Condylox,Condylomata Acuminata,pain,54.17%
Conjugated estrogens,"Abnormal Uterine Bleeding, Atrophic Vaginitis, Hypoestrogenism, Oophorectomy, Osteoporosis, Postmenopausal Symptoms, Primary Ovarian Failure","menopausal symptoms, sleeplessness, fall, tired, constipation, sweat, surgery, panic, pain, ache, Atrophy, crying, Anxiety, nightmare, dizziness, swelling, Breast cancer, hysterectomy, night sweat, withdraw, headache, welt, redness",58.69%
Conjugated estrogens / medroxyprogesterone,"Oophorectomy, Postmenopausal Symptoms","sleepy, night sweat, tired, nausea, groggy, pain, sweat, stress, surgery",54.53%
Contrave," 1 2 2 2  Obesity, Weight Loss","anger, fall, tired, vomiting, heartburn, allergy test, surgery, fever, Tic, nausea and vomiting, tremor, diarrhea, unable to concentrate, bite, wound, Anxiety, weight gain, fatigue, retch, gastric bypass, Acute generalised exanthematous pustulosis, difficulty, dizzy spells, flushing, worry, alcoholic, lightheadedness, redness, adverse effect, sleeplessness, alcoholism, constipation, sweat, hunger, projectile vomiting, nervousness, impatience, flat affect, drowsiness, suicidal, Hepatitis, numbness, excruciating pain, ache, Vomiting, crying, binge eating, feeling guilty, delivery, boredom, hormone therapy, groggy, insulin resistance, seizure, out of breath, muscle twitch, gag, Dizziness, overweight, pain, burning sensation, Depression, drug interaction, Headache, aura, tinnitus, Migraine, hangover, smoker, nausea, cough, vertigo, stiffness, frustration, withdraw, shortness of breath, Nausea, Back pain, lethargy, food craving, sleepy, acupuncture, rhinoplasty, agitation, myalgia, panic, elation, stress, massage, yawning, delusion, murder, nightmare, Discomfort, dizziness, sedentary, Constipation, chill, hysterectomy, moody, palpitation, Scar, spasm, night sweat, flare, headache",49.90%
Copaxone,Multiple Sclerosis,"chest tightness, fall, tired, blood count, vomiting, pain management, fear of needles, Encephalitis, fever, numbness, injection site discomfort, side pain, scar tissue, panic, lesion, elation, pain, burning sensation, adverse reaction, electric shock, ache, massage, nausea, fatigue, nightmare, weight gain, retch, swelling, worry, chill, palpitation, spasm, flare, breast feeding, headache, Pain, welt, redness",56.29%
Copegus,Hepatitis C,"transfusion, blood test",57.24%
Copper,Birth Control,"seizure, tired, vomiting, sweat, unwanted pregnancy, hysteroscopy, numbness, panic, excruciating pain, elation, pregnancy test, traction, pain, burning sensation, stress, x-ray, overdose, tubal ligation, ache, smoker, crying, nausea, fatigue, nightmare, weight gain, retch, cough, difficulty, dizziness, swelling, dizzy spells, trance, worry, moody, abortion, shooting pain, headache, Pain, birth control, Nausea, low back pain, decreased interest",55.14%
Cordarone,Arrhythmia,"tired, nausea, cough, pain, constipation",32.44%
Coreg,"Atrial Fibrillation, Heart Failure, High Blood Pressure, Left Ventricular Dysfunction","palpitation, numbness, smoker, Sepsis, tired, headache, fatigue, pain, dizziness, swelling, ache",54.83%
Coreg CR,"Atrial Fibrillation, Heart Failure, High Blood Pressure","tired, redness",53.91%
Corgard,"Angina, High Blood Pressure, Migraine Prevention, Supraventricular Tachycardia","Headache, palpitation, ache",70.94%
Coricidin HBP Cold & Flu,"Cold Symptoms, Influenza",worry,54.57%
Coricidin HBP Cough & Cold,Cough and Nasal Congestion,"cough, headache, ache, vomiting",35.41%
Corticotropin,"Multiple Sclerosis, cal Segmental Glomerulosclerosis","pain, spasm, unsteady gait",72.68%
Cosentyx,"Ankylosing Spondylitis, Plaque Psoriasis, Psoriatic Arthritis","sleepy, diarrhea, flare, tired, headache, nausea, fatigue, stuffy nose, cough, Back pain, pain, swelling, ache, exhaustion, redness",44.48%
Coumadin,"Antiphospholipid Syndrome, Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery, Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery, Deep Vein Thrombosis, First Event, Deep Vein Thrombosis, Recurrent Event, Prevention of Thromboembolism in Atrial Fibrillation, Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis, Pulmonary Embolism, First Event","scratch, aortic valve replacement, headache, excruciating pain, pain, ache",61.25%
Cozaar,"6 Diabetic Kidney Disease, High Blood Pressure","hypotension, tired, heartburn, surgery, Cardiomyopathy, Tachycardia, Dizziness, pain, stress, erectile dysfunction, aura, ache, nausea, weight gain, cough, dizziness, swelling, flushing, headache, low back pain, lethargy, Pancreatitis",47.56%
Cranberry,"Urinary Incontinence, Urinary Tract Infection",Hyperplasia,74.62%
Creatine,"Herbal Supplementation, Not Listed / Othe","pain, diarrhea, ache",23.86%
Creon,"Chronic Pancreatitis, Cystic Fibrosis, Pancreatic Exocrine Dysfunction","diarrhea, headache, nausea, vomiting, cough, pain, ache",47.89%
Crestor,"Atherosclerosis, High Cholesterol, High Cholesterol, Familial Heterozygous, High Cholesterol, Familial Homozygous, Prevention of Cardiovascular Disease","anger, tired, constipation, Sciatica, gag, surgery, fever, blood test, numbness, overweight, pain, tinnitus, ache, Surgery, nausea, fatigue, nightmare, weight gain, retch, Mass, muscle mass, difficulty, cough, swelling, stiffness, worry, wheelchair bound, palpitation, liver function test, spasm, headache, personality change, redness",46.08%
Crisaborole,Atopic Dermatitis,"fever, scratch, flare, anger, headache, Dermatitis, excruciating pain, pain, stress, gag, ache",47.45%
Crizotinib,Non-Small Cell Lung Cance,nausea,76.09%
Cromolyn,"Asthma, Maintenance, Systemic Mastocytosis","diarrhea, flatulence",63.50%
Crotamiton,Pruritus,bite,81.70%
Cryselle," 1 2  Abnormal Uterine Bleeding, Birth Control, Endometriosis","anger, fall, tired, vomiting, constipation, sweat, exhaustion, suicidal, blood test, fibroadenoma, panic, elation, pain, nausea and vomiting, stress, aura, ache, crying, nausea, fatigue, nightmare, weight gain, cough, dizziness, dizzy spells, worry, moody, withdraw, headache, birth control, redness",39.45%
Cyanocobalamin,"B12 Nutritional Deficiency, Schilling Test, Vitamin B12 Deficiency","tired, pain, fatigue, panic",66.03%
Cyclizine,"Motion Sickness, Nausea/Vomiting","fall, nausea, panic, vomiting, pain, nausea and vomiting, sweat, adverse reaction, gag, surgery",29.19%
Cyclobenzaprine,"Chronic Myofascial Pain, Migraine, Muscle Spasm, Not Listed / Othe, Sciatica, Temporomandibular Joint Disorde, ibromyalgia, t Pac with Cyclobenzaprine (cyclobenzaprine)","sleepy, seizure, muscle injury, anger, fall, tired, vomiting, pain management, constipation, sweat, drool, myalgia, surgery, drowsiness, numbness, scar tissue, sciatica, panic, traction, pain, tremor, stress, aura, ache, Surgery, Migraine, bladder spasm, yawning, hangover, diarrhea, unable to concentrate, crying, nausea, fatigue, nightmare, retch, difficulty, dizziness, oral surgery, stiffness, Constipation, dizzy spells, spasm, flare, headache, lightheadedness, Necrosis, Pain, groggy, lethargy, opiates, Disability, redness",44.17%
Cyclogyl,Uveitis,"spasm, panic, uncoordination, pain, tremor",40.00%
Cyclophosphamide,"Multiple Sclerosis, Ovarian Cance","pain, seizure, ache",23.98%
Cyclosporine,"Eczema, Idiopathic Thrombocytopenic Purpura, Keratoconjunctivitis Sicca, Psoriasis, Ulcerative Colitis, Active","tired, vomiting, endoscopy, biopsy, staring, surgery, wheezing, transfusion, feeling abnormal, pain, stress, ache, scratch, diarrhea, colonoscopy, difficulty, dizziness, spasm, withdraw, flare, headache, corneal scar, redness",40.85%
Cyklokapron,"Bleeding Disorde, actor IX Deficiency",Angioedema,73.56%
Cylert,ADHD,elation,70.87%
Cyproheptadine,"Allergic Reactions, Allergic Rhinitis, Anorexia, Cluster Headaches, Migraine, Not Listed / Othe, Sexual Dysfunction, SSRI Induced, Urticaria, ailure to Thrive","sleepy, seizure, fall, tired, vomiting, redness, sweat, agitation, drowsiness, blood test, panic, overweight, Hunger, pain, stress, hypersomnolence, aura, ache, Migraine, unhappy, nausea, weight gain, anorexia, underweight, headache, increased appetite",62.07%
Cyred,Birth Control,"birth control, palpitation, pain, moody",32.69%
Cytomel,"Hypothyroidism, After Thyroid Removal, Underactive Thyroid","palpitation, hot flush, blood test, headache, shortness of breath, fatigue, Hypothyroidism, Anxiety, weight gain, terrify, pain, constipation, dizziness, sweat, tremor, Depression, ache, exhaustion",61.45%
Cytotec,Abortion,"pain, unwanted pregnancy, traction",72.50%
Cytoxan,"Brain Tum, Chronic Myelogenous Leukemia, Wegener's Granulomatosis","transfusion, pain, flare",72.94%
D.H.E. 45,"Cluster Headaches, Migraine","headache, ache, nausea, Migraine",59.17%
DDAVP,"Diabetes Insipidus, Primary Nocturnal Enuresis",surgery,71.78%
Dabigatran,"Deep Vein Thrombosis, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism","blood test, scratch, diarrhea, tired, headache, nausea, flatulence, weight gain, gurgle, heartburn, pain, constipation, dizziness, swelling, ache, surgery",51.84%
Dabrafenib,"Melanoma, Metastatic","Nausea, pain, blood test",68.25%
Daclatasvir,Hepatitis C,"sleepy, palpitation, blood test, headache, scab, pain, viral load, ache",71.10%
Dalfampridine,Multiple Sclerosis,"heavy legs, seizure, numbness, physiotherapy, spasm, crying, fall, headache, nausea, fatigue, tired, cough, difficulty, pain, vertigo, dizziness, constipation, ache",65.45%
Daliresp,"COPD, COPD, Maintenance","diarrhea, flare, headache, nausea, shortness of breath, panic, vomiting, cough, pain, constipation, sweat, tremor, essential tremor, swelling, ache, wheezing",50.89%
Dallergy,"Nasal Congestion, Rhinitis","headache, ache",58.16%
Dalmane,Insomnia,"hangover, withdraw, anger, tired, headache, blackout, nightmare, ache, drowsiness, hysterectomy",61.92%
Damiana,Erectile Dysfunction,"headache, ache, worry",79.67%
Danazol,"Angioedema, Endometriosis, ibrocystic Breast Disease","frustration, mammogram, fatigue, weight gain, birth control, pain, swelling, exhaustion",55.77%
Dantrolene,Chronic Spasticity,"spasm, drowsiness",74.50%
Dapagliflozin,"Diabetes, Type 2","dizziness, weight gain",27.19%
Dapsone,"Acne, Leukocytoclastic Vasculitis, Linear IgA Disease, Pemphigoid, mis","Vasculitis, blood test, flare, transfusion, Dermatitis, scab, pain, welt, biopsy",58.71%
Daraprim,Malaria Prevention,"bite, malaria",61.46%
Darbepoetin alfa,"Anemia Associated with Chronic Renal Failure, Anemia, Chemotherapy Induced","headache, blood count, fatigue, pain, ache",61.27%
Darvocet A500, Pain,"sleepy, ache, pain, oral surgery, myalgia, surgery",45.05%
Darvocet-N 50,1 Pain,"pain, myalgia, dizziness, drowsiness",45.88%
Darvon,Pain,"prophylaxis, pain, traction",55.38%
